seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom,city
OWNER,1,RK,Studio Apartment,Richards Town,3000,150,Semi-Furnished,0,Bangalore
OWNER,1,BHK,Apartment,Shivaji Nagar,10000,700,Semi-Furnished,0,Bangalore
AGENT,4,BHK,Independent House,hebbal kempapura,1,2800,Semi-Furnished,0,Bangalore
AGENT,2,BHK,Apartment,NRI Layout,18000,1200,Semi-Furnished,0,Bangalore
AGENT,2,BHK,Apartment,Whitefield,20000,1150,Semi-Furnished,0,Bangalore
AGENT,1,RK,Studio Apartment,Maruthi Sevanagar,6500,300,Semi-Furnished,0,Bangalore
OWNER,1,BHK,Independent House,Jnana Ganga Nagar,6250,450,Semi-Furnished,0,Bangalore
OWNER,1,RK,Studio Apartment,Lingarajapuram,6000,400,Unfurnished,0,Bangalore
OWNER,3,BHK,Villa,hongasandra bangalore,25000,1850,Semi-Furnished,0,Bangalore
AGENT,4,BHK,Independent House,RMV Extension Stage 2,2,4000,Semi-Furnished,0,Bangalore
AGENT,2,BHK,Independent House,Banaswadi,24000,1200,Unfurnished,0,Bangalore
AGENT,1,BHK,Independent Floor,HSR Layout,15500,700,Semi-Furnished,0,Bangalore
AGENT,1,BHK,Independent Floor,HSR Layout,13100,700,Semi-Furnished,0,Bangalore
AGENT,1,BHK,Independent Floor,HSR Layout,16000,700,Semi-Furnished,0,Bangalore
AGENT,1,BHK,Independent Floor,HSR Layout,11000,700,Semi-Furnished,0,Bangalore
AGENT,2,BHK,Independent Floor,Murugeshpalya,19000,856,Semi-Furnished,0,Bangalore
AGENT,1,RK,Studio Apartment,Jeevan Bima Nagar,9000,356,Semi-Furnished,0,Bangalore
AGENT,1,RK,Studio Apartment,CV Raman Nagar,8000,278,Semi-Furnished,0,Bangalore
OWNER,1,BHK,Independent House,Banashankari,6000,750,Semi-Furnished,0,Bangalore
OWNER,1,BHK,Independent House,Shivananda Nagar,15000,900,Semi-Furnished,0,Bangalore
OWNER,1,BHK,Independent Floor,Horamavu,13000,1200,Furnished,0,Bangalore
OWNER,15,BHK,Independent House,Nagawara,2,6500,Semi-Furnished,19,Bangalore
OWNER,15,BHK,Apartment,Shivaji Nagar,5,10800,Semi-Furnished,18,Bangalore
AGENT,8,BHK,Independent House,Koramangala,5,10000,Furnished,9,Bangalore
OWNER,10,BHK,Independent House,Nagavara,2,5000,Semi-Furnished,9,Bangalore
AGENT,7,BHK,Independent House,HSR Layout,2,6700,Semi-Furnished,8,Bangalore
AGENT,5,BHK,Villa,Whitefield Hope Farm Junction,3,7350,Semi-Furnished,7,Bangalore
AGENT,4,BHK,Apartment,Whitefield Hope Farm Junction,2,6000,Semi-Furnished,7,Bangalore
AGENT,7,BHK,Independent House,Cooke Town,2,6000,Furnished,7,Bangalore
AGENT,5,BHK,Villa,Whitefield Hope Farm Junction,3,6660,Semi-Furnished,7,Bangalore
AGENT,5,BHK,Apartment,Marathahalli,1,5000,Furnished,7,Bangalore
AGENT,5,BHK,Villa,Lavelle Road,4,7100,Furnished,7,Bangalore
OWNER,6,BHK,Apartment,Hennur,2,7000,Semi-Furnished,7,Bangalore
AGENT,5,BHK,Villa,Whitefield Hope Farm Junction,2,4900,Semi-Furnished,6,Bangalore
AGENT,4,BHK,Apartment,Whitefield Hope Farm Junction,1,4111,Semi-Furnished,6,Bangalore
AGENT,5,BHK,Villa,Whitefield Hope Farm Junction,80000,3200,Semi-Furnished,6,Bangalore
AGENT,4,BHK,Apartment,Whitefield Hope Farm Junction,55000,3300,Furnished,6,Bangalore
AGENT,5,BHK,Villa,Whitefield Hope Farm Junction,1,5300,Semi-Furnished,6,Bangalore
AGENT,4,BHK,Villa,Whitefield Hope Farm Junction,65000,3500,Semi-Furnished,6,Bangalore
AGENT,4,BHK,Villa,Sai Baba Ashram,95000,4500,Semi-Furnished,6,Bangalore
AGENT,4,BHK,Villa,Sai Baba Ashram,75000,3117,Semi-Furnished,6,Bangalore
AGENT,5,BHK,Independent Floor,HSR Layout,1,4800,Semi-Furnished,6,Bangalore
AGENT,6,BHK,Independent House,Mallathahalli,70000,5000,Semi-Furnished,6,Bangalore
AGENT,3,BHK,Independent Floor,Nagarbhavi,29750,1750,Semi-Furnished,6,Bangalore
AGENT,5,BHK,Villa,Koramangala,1,5000,Semi-Furnished,6,Bangalore
AGENT,4,BHK,Apartment,HSR Layout,2,5900,Semi-Furnished,6,Bangalore
AGENT,7,BHK,Independent House,HSR Layout,2,8000,Furnished,6,Bangalore
AGENT,6,BHK,Apartment,Vibhutipura,85000,5000,Semi-Furnished,6,Bangalore
AGENT,4,BHK,Apartment,Whitefield Hope Farm Junction,1,5924,Semi-Furnished,6,Bangalore
AGENT,5,BHK,Independent House,Sir M V Nagar,50000,4000,Furnished,6,Bangalore
AGENT,4,BHK,Independent House,Banashankari,1,5200,Furnished,6,Bangalore
AGENT,5,BHK,Villa,Ramagondanahalli,3,4500,Semi-Furnished,6,Bangalore
OWNER,5,BHK,Villa,Bangalore,3,4500,Furnished,6,Bangalore
OWNER,5,BHK,Villa,Kogilu,1,4500,Semi-Furnished,6,Bangalore
AGENT,4,BHK,Villa,Neo Whitefield,36300,2900,Semi-Furnished,6,Bangalore
OWNER,3,BHK,Apartment,Hoodi,23000,1450,Semi-Furnished,6,Bangalore
AGENT,8,BHK,Independent House,Indiranagar,80000,3500,Semi-Furnished,6,Bangalore
AGENT,6,BHK,Apartment,Sanjaynagar,1,4200,Semi-Furnished,6,Bangalore
AGENT,3,BHK,Independent Floor,Domlur Layout,31000,1450,Semi-Furnished,6,Bangalore
AGENT,5,BHK,Independent House,HSR Layout,1,6300,Semi-Furnished,6,Bangalore
OWNER,3,BHK,Independent Floor,Bharath Nagar Anjana Nagar,50000,3800,Unfurnished,6,Bangalore
OWNER,4,BHK,Apartment,Whitefield Hope Farm Junction,90000,4011,Semi-Furnished,6,Bangalore
OWNER,4,BHK,Independent Floor,Whitefield Hope Farm Junction,3,5121,Semi-Furnished,5,Bangalore
OWNER,4,BHK,Villa,Kannur,65000,6400,Furnished,5,Bangalore
OWNER,8,BHK,Villa,Varthur,1,3100,Unfurnished,5,Bangalore
OWNER,4,BHK,Villa,Kannur,65000,6000,Furnished,5,Bangalore
AGENT,4,BHK,Independent House,Frazer Town,50000,2800,Semi-Furnished,5,Bangalore
AGENT,5,BHK,Villa,HSR Layout,1,5500,Semi-Furnished,5,Bangalore
OWNER,4,BHK,Apartment,Doddanekundi,50000,4250,Semi-Furnished,5,Bangalore
OWNER,4,BHK,Independent Floor,HSR Layout,30000,2400,Semi-Furnished,5,Bangalore
AGENT,4,BHK,Apartment,Whitefield Hope Farm Junction,56000,2016,Furnished,5,Bangalore
AGENT,4,BHK,Villa,Kannamangala,50000,2750,Semi-Furnished,5,Bangalore
AGENT,4,BHK,Villa,Kannamangala,2,4400,Semi-Furnished,5,Bangalore
AGENT,4,BHK,Apartment,ITPL,80000,4165,Semi-Furnished,5,Bangalore
AGENT,4,BHK,Villa,Kannamangala,80000,4200,Semi-Furnished,5,Bangalore
AGENT,4,BHK,Apartment,ITPL,65000,3500,Furnished,5,Bangalore
AGENT,4,BHK,Apartment,Yelahanka,1,2850,Furnished,5,Bangalore
AGENT,4,BHK,Villa,Bagaluru Near Yelahanka,2,4346,Semi-Furnished,5,Bangalore
AGENT,4,BHK,Apartment,Whitefield Hope Farm Junction,90000,4200,Semi-Furnished,5,Bangalore
AGENT,4,BHK,Apartment,Whitefield Hope Farm Junction,85000,4200,Semi-Furnished,5,Bangalore
AGENT,4,BHK,Villa,Varthur,1,3500,Furnished,5,Bangalore
AGENT,4,BHK,Villa,Varthur,1,5000,Semi-Furnished,5,Bangalore
AGENT,4,BHK,Apartment,Whitefield Hope Farm Junction,1,4041,Semi-Furnished,5,Bangalore
AGENT,4,BHK,Apartment,Whitefield Hope Farm Junction,1,4041,Furnished,5,Bangalore
AGENT,3,BHK,Villa,Whitefield,65000,3850,Semi-Furnished,5,Bangalore
AGENT,4,BHK,Villa,Krishnarajapura,50000,3100,Semi-Furnished,5,Bangalore
AGENT,4,BHK,Villa,Ramagondanahalli,80000,3200,Semi-Furnished,5,Bangalore
AGENT,4,BHK,Villa,Kannamangala,2,4700,Semi-Furnished,5,Bangalore
AGENT,4,BHK,Villa,Chansandra,70000,3155,Semi-Furnished,5,Bangalore
AGENT,4,BHK,Villa,Mahadevapura,84000,3650,Furnished,5,Bangalore
AGENT,4,BHK,Villa,Whitefield Hope Farm Junction,85000,3565,Semi-Furnished,5,Bangalore
AGENT,4,BHK,Villa,Varthur,50000,3000,Semi-Furnished,5,Bangalore
AGENT,4,BHK,Villa,Sai Baba Ashram,70000,3500,Semi-Furnished,5,Bangalore
AGENT,3,BHK,Villa,Whitefield,80000,3850,Semi-Furnished,5,Bangalore
AGENT,3,BHK,Villa,Whitefield,85000,4000,Semi-Furnished,5,Bangalore
AGENT,4,BHK,Villa,HSR Layout,55000,4000,Semi-Furnished,5,Bangalore
AGENT,5,BHK,Villa,Ramanashree California Gardens Layout,2,9500,Furnished,5,Bangalore
AGENT,5,BHK,Villa,Virupakshapura,55000,2400,Furnished,5,Bangalore
AGENT,4,BHK,Apartment,Sampangiram Nagar,60000,3000,Semi-Furnished,5,Bangalore
AGENT,4,BHK,Apartment,Bellandur,70000,2725,Semi-Furnished,5,Bangalore
AGENT,4,BHK,Independent House,HSR Layout,60000,4000,Furnished,5,Bangalore
AGENT,5,BHK,Villa,HSR Layout,2,9500,Furnished,5,Bangalore
AGENT,4,BHK,Independent House,Chandra Layout Extension,55000,2500,Semi-Furnished,5,Bangalore
AGENT,4,BHK,Independent House,Nagarbhavi,50000,2600,Semi-Furnished,5,Bangalore
AGENT,2,BHK,Independent Floor,Nagarbhavi,18000,1250,Semi-Furnished,5,Bangalore
AGENT,4,BHK,Villa,Koramangala,1,4500,Furnished,5,Bangalore
AGENT,4,BHK,Villa,HSR Layout,2,4500,Semi-Furnished,5,Bangalore
AGENT,5,BHK,Independent House,Koramangala,1,4000,Semi-Furnished,5,Bangalore
AGENT,4,BHK,Independent House,Domlur Layout,2,4500,Semi-Furnished,5,Bangalore
AGENT,5,BHK,Independent House,Bennigana Halli,40000,3500,Furnished,5,Bangalore
AGENT,3,BHK,Apartment,Whitefield Hope Farm Junction,52000,2787,Semi-Furnished,5,Bangalore
AGENT,5,BHK,Independent House,Kasturi Nagar,70000,3500,Furnished,5,Bangalore
AGENT,5,BHK,Independent House,Bennigana Halli,55000,4000,Furnished,5,Bangalore
AGENT,5,BHK,Independent House,Kasturi Nagar,40000,3800,Furnished,5,Bangalore
AGENT,4,BHK,Apartment,Whitefield Hope Farm Junction,1,5000,Semi-Furnished,5,Bangalore
AGENT,4,BHK,Independent House,HSR Layout,2,5000,Semi-Furnished,5,Bangalore
AGENT,5,BHK,Independent House,HSR Layout,1,4000,Semi-Furnished,5,Bangalore
AGENT,4,BHK,Apartment,Whitefield Hope Farm Junction,85000,2950,Furnished,5,Bangalore
